"","DAY","variable","value"
"842","12-Oct","X2002",84
"843","13-Oct","X2002",79
"844","14-Oct","X2002",68
"845","15-Oct","X2002",57
"846","16-Oct","X2002",66
"847","17-Oct","X2002",64
"848","18-Oct","X2002",68
"849","19-Oct","X2002",71
"850","20-Oct","X2002",73
"851","21-Oct","X2002",71
"852","22-Oct","X2002",64
"853","23-Oct","X2002",59
"854","24-Oct","X2002",68
"855","25-Oct","X2002",60
"856","26-Oct","X2002",68
"857","27-Oct","X2002",69
"858","28-Oct","X2002",75
"859","29-Oct","X2002",75
"860","30-Oct","X2002",68
"861","31-Oct","X2002",60
"862","1-Jul","X2003",73
"863","2-Jul","X2003",81
"864","3-Jul","X2003",87
"865","4-Jul","X2003",86
"866","5-Jul","X2003",80
"867","6-Jul","X2003",84
"868","7-Jul","X2003",87
"869","8-Jul","X2003",90
"870","9-Jul","X2003",89
"871","10-Jul","X2003",84
"872","11-Jul","X2003",84
"873","12-Jul","X2003",86
"874","13-Jul","X2003",87
"875","14-Jul","X2003",84
"876","15-Jul","X2003",86
"877","16-Jul","X2003",88
"878","17-Jul","X2003",88
"879","18-Jul","X2003",88
"880","19-Jul","X2003",88
"881","20-Jul","X2003",88
"882","21-Jul","X2003",89
"883","22-Jul","X2003",86
"884","23-Jul","X2003",81
"885","24-Jul","X2003",82
"886","25-Jul","X2003",84
"887","26-Jul","X2003",87
"888","27-Jul","X2003",87
"889","28-Jul","X2003",89
"890","29-Jul","X2003",88
"891","30-Jul","X2003",84
"892","31-Jul","X2003",88
"893","1-Aug","X2003",84
"894","2-Aug","X2003",84
"895","3-Aug","X2003",84
"896","4-Aug","X2003",82
"897","5-Aug","X2003",84
"898","6-Aug","X2003",82
"899","7-Aug","X2003",84
"900","8-Aug","X2003",84
"901","9-Aug","X2003",86
"902","10-Aug","X2003",87
"903","11-Aug","X2003",84
"904","12-Aug","X2003",81
"905","13-Aug","X2003",87
"906","14-Aug","X2003",89
"907","15-Aug","X2003",90
"908","16-Aug","X2003",86
"909","17-Aug","X2003",89
"910","18-Aug","X2003",90
"911","19-Aug","X2003",90
"912","20-Aug","X2003",87
"913","21-Aug","X2003",88
"914","22-Aug","X2003",88
"915","23-Aug","X2003",90
"916","24-Aug","X2003",89
"917","25-Aug","X2003",88
"918","26-Aug","X2003",89
"919","27-Aug","X2003",90
"920","28-Aug","X2003",91
"921","29-Aug","X2003",89
"922","30-Aug","X2003",88
"923","31-Aug","X2003",89
"924","1-Sep","X2003",88
"925","2-Sep","X2003",86
"926","3-Sep","X2003",87
"927","4-Sep","X2003",87
"928","5-Sep","X2003",84
"929","6-Sep","X2003",73
"930","7-Sep","X2003",75
"931","8-Sep","X2003",81
"932","9-Sep","X2003",82
"933","10-Sep","X2003",79
"934","11-Sep","X2003",80
"935","12-Sep","X2003",81
"936","13-Sep","X2003",84
"937","14-Sep","X2003",82
"938","15-Sep","X2003",82
"939","16-Sep","X2003",81
"940","17-Sep","X2003",81
"941","18-Sep","X2003",81
"942","19-Sep","X2003",84
"943","20-Sep","X2003",87
"944","21-Sep","X2003",82
"945","22-Sep","X2003",75
"946","23-Sep","X2003",81
"947","24-Sep","X2003",80
"948","25-Sep","X2003",82
"949","26-Sep","X2003",82
"950","27-Sep","X2003",82
"951","28-Sep","X2003",73
"952","29-Sep","X2003",66
"953","30-Sep","X2003",71
"954","1-Oct","X2003",72
"955","2-Oct","X2003",68
"956","3-Oct","X2003",66
"957","4-Oct","X2003",77
"958","5-Oct","X2003",78
"959","6-Oct","X2003",75
"960","7-Oct","X2003",73
"961","8-Oct","X2003",73
"962","9-Oct","X2003",73
"963","10-Oct","X2003",73
"964","11-Oct","X2003",66
"965","12-Oct","X2003",78
"966","13-Oct","X2003",78
"967","14-Oct","X2003",78
"968","15-Oct","X2003",69
"969","16-Oct","X2003",72
"970","17-Oct","X2003",68
"971","18-Oct","X2003",70
"972","19-Oct","X2003",75
"973","20-Oct","X2003",78
"974","21-Oct","X2003",84
"975","22-Oct","X2003",78
"976","23-Oct","X2003",78
"977","24-Oct","X2003",73
"978","25-Oct","X2003",73
"979","26-Oct","X2003",68
"980","27-Oct","X2003",64
"981","28-Oct","X2003",57
"982","29-Oct","X2003",70
"983","30-Oct","X2003",77
"984","31-Oct","X2003",75
"985","1-Jul","X2004",82
"986","2-Jul","X2004",81
"987","3-Jul","X2004",86
"988","4-Jul","X2004",88
"989","5-Jul","X2004",90
"990","6-Jul","X2004",90
"991","7-Jul","X2004",89
"992","8-Jul","X2004",87
"993","9-Jul","X2004",88
"994","10-Jul","X2004",89
"995","11-Jul","X2004",90
"996","12-Jul","X2004",89
"997","13-Jul","X2004",91
"998","14-Jul","X2004",91
"999","15-Jul","X2004",84
"1000","16-Jul","X2004",84
"1001","17-Jul","X2004",84
"1002","18-Jul","X2004",87
"1003","19-Jul","X2004",84
"1004","20-Jul","X2004",88
"1005","21-Jul","X2004",89
"1006","22-Jul","X2004",89
"1007","23-Jul","X2004",93
"1008","24-Jul","X2004",95
"1009","25-Jul","X2004",89
"1010","26-Jul","X2004",87
"1011","27-Jul","X2004",84
"1012","28-Jul","X2004",89
"1013","29-Jul","X2004",87
"1014","30-Jul","X2004",89
"1015","31-Jul","X2004",90
"1016","1-Aug","X2004",91
"1017","2-Aug","X2004",90
"1018","3-Aug","X2004",91
"1019","4-Aug","X2004",91
"1020","5-Aug","X2004",90
"1021","6-Aug","X2004",84
"1022","7-Aug","X2004",81
"1023","8-Aug","X2004",82
"1024","9-Aug","X2004",84
"1025","10-Aug","X2004",75
"1026","11-Aug","X2004",82
"1027","12-Aug","X2004",80
"1028","13-Aug","X2004",77
"1029","14-Aug","X2004",82
"1030","15-Aug","X2004",82
"1031","16-Aug","X2004",84
"1032","17-Aug","X2004",86
"1033","18-Aug","X2004",86
"1034","19-Aug","X2004",89
"1035","20-Aug","X2004",88
"1036","21-Aug","X2004",82
"1037","22-Aug","X2004",84
"1038","23-Aug","X2004",84
"1039","24-Aug","X2004",87
"1040","25-Aug","X2004",82
"1041","26-Aug","X2004",86
"1042","27-Aug","X2004",88
"1043","28-Aug","X2004",90
"1044","29-Aug","X2004",87
"1045","30-Aug","X2004",88
"1046","31-Aug","X2004",87
"1047","1-Sep","X2004",82
"1048","2-Sep","X2004",80
"1049","3-Sep","X2004",81
"1050","4-Sep","X2004",82
"1051","5-Sep","X2004",84
"1052","6-Sep","X2004",81
"1053","7-Sep","X2004",86
"1054","8-Sep","X2004",73
"1055","9-Sep","X2004",84
"1056","10-Sep","X2004",84
"1057","11-Sep","X2004",84
"1058","12-Sep","X2004",81
"1059","13-Sep","X2004",79
"1060","14-Sep","X2004",79
"1061","15-Sep","X2004",73
"1062","16-Sep","X2004",75
"1063","17-Sep","X2004",80
"1064","18-Sep","X2004",79
"1065","19-Sep","X2004",78
"1066","20-Sep","X2004",73
"1067","21-Sep","X2004",75
"1068","22-Sep","X2004",80
"1069","23-Sep","X2004",84
"1070","24-Sep","X2004",82
"1071","25-Sep","X2004",81
"1072","26-Sep","X2004",79
"1073","27-Sep","X2004",72
"1074","28-Sep","X2004",78
"1075","29-Sep","X2004",78
"1076","30-Sep","X2004",80
"1077","1-Oct","X2004",82
"1078","2-Oct","X2004",82
"1079","3-Oct","X2004",80
"1080","4-Oct","X2004",81
"1081","5-Oct","X2004",80
"1082","6-Oct","X2004",75
"1083","7-Oct","X2004",75
"1084","8-Oct","X2004",73
"1085","9-Oct","X2004",71
"1086","10-Oct","X2004",71
"1087","11-Oct","X2004",77
"1088","12-Oct","X2004",73
"1089","13-Oct","X2004",64
"1090","14-Oct","X2004",63
"1091","15-Oct","X2004",62
"1092","16-Oct","X2004",71
"1093","17-Oct","X2004",75
"1094","18-Oct","X2004",73
"1095","19-Oct","X2004",68
"1096","20-Oct","X2004",71
"1097","21-Oct","X2004",73
"1098","22-Oct","X2004",73
"1099","23-Oct","X2004",70
"1100","24-Oct","X2004",73
"1101","25-Oct","X2004",78
"1102","26-Oct","X2004",79
"1103","27-Oct","X2004",81
"1104","28-Oct","X2004",78
"1105","29-Oct","X2004",75
"1106","30-Oct","X2004",78
"1107","31-Oct","X2004",82
"1108","1-Jul","X2005",91
"1109","2-Jul","X2005",89
"1110","3-Jul","X2005",86
"1111","4-Jul","X2005",86
"1112","5-Jul","X2005",89
"1113","6-Jul","X2005",82
"1114","7-Jul","X2005",76
"1115","8-Jul","X2005",88
"1116","9-Jul","X2005",89
"1117","10-Jul","X2005",78
"1118","11-Jul","X2005",83
"1119","12-Jul","X2005",86
"1120","13-Jul","X2005",84
"1121","14-Jul","X2005",87
"1122","15-Jul","X2005",84
"1123","16-Jul","X2005",85
"1124","17-Jul","X2005",89
"1125","18-Jul","X2005",90
"1126","19-Jul","X2005",89
"1127","20-Jul","X2005",89
"1128","21-Jul","X2005",90
"1129","22-Jul","X2005",91
"1130","23-Jul","X2005",91
"1131","24-Jul","X2005",90
"1132","25-Jul","X2005",92
"1133","26-Jul","X2005",94
"1134","27-Jul","X2005",92
"1135","28-Jul","X2005",90
"1136","29-Jul","X2005",83
"1137","30-Jul","X2005",78
"1138","31-Jul","X2005",84
"1139","1-Aug","X2005",82
"1140","2-Aug","X2005",86
"1141","3-Aug","X2005",88
"1142","4-Aug","X2005",91
"1143","5-Aug","X2005",88
"1144","6-Aug","X2005",86
"1145","7-Aug","X2005",80
"1146","8-Aug","X2005",82
"1147","9-Aug","X2005",85
"1148","10-Aug","X2005",83
"1149","11-Aug","X2005",87
"1150","12-Aug","X2005",88
"1151","13-Aug","X2005",86
"1152","14-Aug","X2005",90
"1153","15-Aug","X2005",92
"1154","16-Aug","X2005",89
"1155","17-Aug","X2005",90
"1156","18-Aug","X2005",90
"1157","19-Aug","X2005",89
"1158","20-Aug","X2005",92
"1159","21-Aug","X2005",94
"1160","22-Aug","X2005",93
"1161","23-Aug","X2005",87
"1162","24-Aug","X2005",85
"1163","25-Aug","X2005",84
"1164","26-Aug","X2005",84
"1165","27-Aug","X2005",86
"1166","28-Aug","X2005",86
"1167","29-Aug","X2005",85
"1168","30-Aug","X2005",85
"1169","31-Aug","X2005",85
"1170","1-Sep","X2005",85
"1171","2-Sep","X2005",88
"1172","3-Sep","X2005",87
"1173","4-Sep","X2005",85
"1174","5-Sep","X2005",81
"1175","6-Sep","X2005",81
"1176","7-Sep","X2005",83
"1177","8-Sep","X2005",85
"1178","9-Sep","X2005",86
"1179","10-Sep","X2005",84
"1180","11-Sep","X2005",84
"1181","12-Sep","X2005",86
"1182","13-Sep","X2005",88
"1183","14-Sep","X2005",88
"1184","15-Sep","X2005",91
"1185","16-Sep","X2005",88
"1186","17-Sep","X2005",86
"1187","18-Sep","X2005",88
"1188","19-Sep","X2005",90
"1189","20-Sep","X2005",90
"1190","21-Sep","X2005",90
"1191","22-Sep","X2005",86
"1192","23-Sep","X2005",87
"1193","24-Sep","X2005",88
"1194","25-Sep","X2005",85
"1195","26-Sep","X2005",77
"1196","27-Sep","X2005",86
"1197","28-Sep","X2005",85
"1198","29-Sep","X2005",85
"1199","30-Sep","X2005",82
"1200","1-Oct","X2005",83
"1201","2-Oct","X2005",85
"1202","3-Oct","X2005",83
"1203","4-Oct","X2005",85
"1204","5-Oct","X2005",81
"1205","6-Oct","X2005",72
"1206","7-Oct","X2005",72
"1207","8-Oct","X2005",73
"1208","9-Oct","X2005",70
"1209","10-Oct","X2005",77
"1210","11-Oct","X2005",82
"1211","12-Oct","X2005",74
"1212","13-Oct","X2005",77
"1213","14-Oct","X2005",78
"1214","15-Oct","X2005",79
"1215","16-Oct","X2005",76
"1216","17-Oct","X2005",75
"1217","18-Oct","X2005",81
"1218","19-Oct","X2005",83
"1219","20-Oct","X2005",83
"1220","21-Oct","X2005",80
"1221","22-Oct","X2005",67
"1222","23-Oct","X2005",70
"1223","24-Oct","X2005",56
"1224","25-Oct","X2005",54
"1225","26-Oct","X2005",61
"1226","27-Oct","X2005",63
"1227","28-Oct","X2005",62
"1228","29-Oct","X2005",64
"1229","30-Oct","X2005",69
"1230","31-Oct","X2005",70
"1231","1-Jul","X2006",93
"1232","2-Jul","X2006",93
"1233","3-Jul","X2006",93
"1234","4-Jul","X2006",91
"1235","5-Jul","X2006",90
"1236","6-Jul","X2006",81
"1237","7-Jul","X2006",80
"1238","8-Jul","X2006",82
"1239","9-Jul","X2006",84
"1240","10-Jul","X2006",84
"1241","11-Jul","X2006",90
"1242","12-Jul","X2006",91
"1243","13-Jul","X2006",91
"1244","14-Jul","X2006",91
"1245","15-Jul","X2006",91
"1246","16-Jul","X2006",91
"1247","17-Jul","X2006",93
"1248","18-Jul","X2006",93
"1249","19-Jul","X2006",96
"1250","20-Jul","X2006",93
"1251","21-Jul","X2006",93
"1252","22-Jul","X2006",91
"1253","23-Jul","X2006",86
"1254","24-Jul","X2006",87
"1255","25-Jul","X2006",88
"1256","26-Jul","X2006",93
"1257","27-Jul","X2006",95
"1258","28-Jul","X2006",96
"1259","29-Jul","X2006",91
"1260","30-Jul","X2006",91
"1261","31-Jul","X2006",94
"1262","1-Aug","X2006",95
"1263","2-Aug","X2006",95
"1264","3-Aug","X2006",97
"1265","4-Aug","X2006",98
"1266","5-Aug","X2006",96
"1267","6-Aug","X2006",89
"1268","7-Aug","X2006",97
"1269","8-Aug","X2006",96
"1270","9-Aug","X2006",95
"1271","10-Aug","X2006",96
"1272","11-Aug","X2006",88
"1273","12-Aug","X2006",84
"1274","13-Aug","X2006",81
"1275","14-Aug","X2006",87
"1276","15-Aug","X2006",86
"1277","16-Aug","X2006",89
"1278","17-Aug","X2006",86
"1279","18-Aug","X2006",88
"1280","19-Aug","X2006",88
"1281","20-Aug","X2006",93
"1282","21-Aug","X2006",91
"1283","22-Aug","X2006",88
"1284","23-Aug","X2006",87
"1285","24-Aug","X2006",83
"1286","25-Aug","X2006",85
"1287","26-Aug","X2006",88
"1288","27-Aug","X2006",88
"1289","28-Aug","X2006",90
"1290","29-Aug","X2006",90
"1291","30-Aug","X2006",88
"1292","31-Aug","X2006",80
"1293","1-Sep","X2006",85
"1294","2-Sep","X2006",86
"1295","3-Sep","X2006",85
"1296","4-Sep","X2006",88
"1297","5-Sep","X2006",83
"1298","6-Sep","X2006",85
"1299","7-Sep","X2006",80
"1300","8-Sep","X2006",83
"1301","9-Sep","X2006",83
"1302","10-Sep","X2006",85
"1303","11-Sep","X2006",84
"1304","12-Sep","X2006",82
"1305","13-Sep","X2006",70
"1306","14-Sep","X2006",80
"1307","15-Sep","X2006",82
"1308","16-Sep","X2006",83
"1309","17-Sep","X2006",85
"1310","18-Sep","X2006",85
"1311","19-Sep","X2006",79
"1312","20-Sep","X2006",73
"1313","21-Sep","X2006",75
"1314","22-Sep","X2006",82
"1315","23-Sep","X2006",86
"1316","24-Sep","X2006",84
"1317","25-Sep","X2006",75
"1318","26-Sep","X2006",78
"1319","27-Sep","X2006",79
"1320","28-Sep","X2006",81
"1321","29-Sep","X2006",70
"1322","30-Sep","X2006",75
"1323","1-Oct","X2006",83
"1324","2-Oct","X2006",81
"1325","3-Oct","X2006",82
"1326","4-Oct","X2006",84
"1327","5-Oct","X2006",86
"1328","6-Oct","X2006",76
"1329","7-Oct","X2006",72
"1330","8-Oct","X2006",72
"1331","9-Oct","X2006",79
"1332","10-Oct","X2006",80
"1333","11-Oct","X2006",80
"1334","12-Oct","X2006",71
"1335","13-Oct","X2006",62
"1336","14-Oct","X2006",69
"1337","15-Oct","X2006",70
"1338","16-Oct","X2006",59
"1339","17-Oct","X2006",71
"1340","18-Oct","X2006",77
"1341","19-Oct","X2006",76
"1342","20-Oct","X2006",69
"1343","21-Oct","X2006",69
"1344","22-Oct","X2006",70
"1345","23-Oct","X2006",53
"1346","24-Oct","X2006",56
"1347","25-Oct","X2006",55
"1348","26-Oct","X2006",62
"1349","27-Oct","X2006",66
"1350","28-Oct","X2006",63
"1351","29-Oct","X2006",72
"1352","30-Oct","X2006",73
"1353","31-Oct","X2006",68
"1354","1-Jul","X2007",95
"1355","2-Jul","X2007",85
"1356","3-Jul","X2007",82
"1357","4-Jul","X2007",86
"1358","5-Jul","X2007",88
"1359","6-Jul","X2007",87
"1360","7-Jul","X2007",82
"1361","8-Jul","X2007",82
"1362","9-Jul","X2007",89
"1363","10-Jul","X2007",86
"1364","11-Jul","X2007",85
"1365","12-Jul","X2007",87
"1366","13-Jul","X2007",86
"1367","14-Jul","X2007",84
"1368","15-Jul","X2007",81
"1369","16-Jul","X2007",86
"1370","17-Jul","X2007",89
"1371","18-Jul","X2007",89
"1372","19-Jul","X2007",88
"1373","20-Jul","X2007",86
"1374","21-Jul","X2007",86
"1375","22-Jul","X2007",79
"1376","23-Jul","X2007",82
"1377","24-Jul","X2007",87
"1378","25-Jul","X2007",87
"1379","26-Jul","X2007",87
"1380","27-Jul","X2007",90
"1381","28-Jul","X2007",89
"1382","29-Jul","X2007",87
"1383","30-Jul","X2007",92
"1384","31-Jul","X2007",90
"1385","1-Aug","X2007",92
"1386","2-Aug","X2007",92
"1387","3-Aug","X2007",94
"1388","4-Aug","X2007",97
"1389","5-Aug","X2007",96
"1390","6-Aug","X2007",98
"1391","7-Aug","X2007",98
"1392","8-Aug","X2007",100
"1393","9-Aug","X2007",103
"1394","10-Aug","X2007",103
"1395","11-Aug","X2007",100
"1396","12-Aug","X2007",90
"1397","13-Aug","X2007",100
"1398","14-Aug","X2007",99
"1399","15-Aug","X2007",102
"1400","16-Aug","X2007",101
"1401","17-Aug","X2007",101
"1402","18-Aug","X2007",97
"1403","19-Aug","X2007",95
"1404","20-Aug","X2007",96
"1405","21-Aug","X2007",99
"1406","22-Aug","X2007",104
"1407","23-Aug","X2007",98
"1408","24-Aug","X2007",95
"1409","25-Aug","X2007",94
"1410","26-Aug","X2007",92
"1411","27-Aug","X2007",88
"1412","28-Aug","X2007",88
"1413","29-Aug","X2007",89
"1414","30-Aug","X2007",89
"1415","31-Aug","X2007",86
"1416","1-Sep","X2007",84
"1417","2-Sep","X2007",83
"1418","3-Sep","X2007",88
"1419","4-Sep","X2007",91
"1420","5-Sep","X2007",89
"1421","6-Sep","X2007",85
"1422","7-Sep","X2007",86
"1423","8-Sep","X2007",88
"1424","9-Sep","X2007",89
"1425","10-Sep","X2007",89
"1426","11-Sep","X2007",89
"1427","12-Sep","X2007",86
"1428","13-Sep","X2007",85
"1429","14-Sep","X2007",81
"1430","15-Sep","X2007",82
"1431","16-Sep","X2007",76
"1432","17-Sep","X2007",78
"1433","18-Sep","X2007",79
"1434","19-Sep","X2007",82
"1435","20-Sep","X2007",81
"1436","21-Sep","X2007",78
"1437","22-Sep","X2007",86
"1438","23-Sep","X2007",83
"1439","24-Sep","X2007",89
"1440","25-Sep","X2007",87
"1441","26-Sep","X2007",84
"1442","27-Sep","X2007",85
"1443","28-Sep","X2007",85
"1444","29-Sep","X2007",81
"1445","30-Sep","X2007",79
"1446","1-Oct","X2007",80
"1447","2-Oct","X2007",82
"1448","3-Oct","X2007",77
"1449","4-Oct","X2007",80
"1450","5-Oct","X2007",81
"1451","6-Oct","X2007",82
"1452","7-Oct","X2007",83
"1453","8-Oct","X2007",83
"1454","9-Oct","X2007",81
"1455","10-Oct","X2007",81
"1456","11-Oct","X2007",67
"1457","12-Oct","X2007",72
"1458","13-Oct","X2007",74
"1459","14-Oct","X2007",78
"1460","15-Oct","X2007",78
"1461","16-Oct","X2007",76
"1462","17-Oct","X2007",82
"1463","18-Oct","X2007",77
"1464","19-Oct","X2007",76
"1465","20-Oct","X2007",75
"1466","21-Oct","X2007",78
"1467","22-Oct","X2007",72
"1468","23-Oct","X2007",81
"1469","24-Oct","X2007",59
"1470","25-Oct","X2007",61
"1471","26-Oct","X2007",68
"1472","27-Oct","X2007",67
"1473","28-Oct","X2007",70
"1474","29-Oct","X2007",62
"1475","30-Oct","X2007",67
"1476","31-Oct","X2007",71
"1477","1-Jul","X2008",85
"1478","2-Jul","X2008",87
"1479","3-Jul","X2008",91
"1480","4-Jul","X2008",90
"1481","5-Jul","X2008",88
"1482","6-Jul","X2008",82
"1483","7-Jul","X2008",88
"1484","8-Jul","X2008",90
"1485","9-Jul","X2008",89
"1486","10-Jul","X2008",87
"1487","11-Jul","X2008",89
"1488","12-Jul","X2008",93
"1489","13-Jul","X2008",85
"1490","14-Jul","X2008",88
"1491","15-Jul","X2008",89
"1492","16-Jul","X2008",89
"1493","17-Jul","X2008",88
"1494","18-Jul","X2008",90
"1495","19-Jul","X2008",91
"1496","20-Jul","X2008",94
"1497","21-Jul","X2008",95
"1498","22-Jul","X2008",92
"1499","23-Jul","X2008",87
"1500","24-Jul","X2008",88
"1501","25-Jul","X2008",89
"1502","26-Jul","X2008",87
"1503","27-Jul","X2008",90
"1504","28-Jul","X2008",93
"1505","29-Jul","X2008",92
"1506","30-Jul","X2008",90
"1507","31-Jul","X2008",88
"1508","1-Aug","X2008",89
"1509","2-Aug","X2008",92
"1510","3-Aug","X2008",91
"1511","4-Aug","X2008",91
"1512","5-Aug","X2008",92
"1513","6-Aug","X2008",94
"1514","7-Aug","X2008",90
"1515","8-Aug","X2008",86
"1516","9-Aug","X2008",85
"1517","10-Aug","X2008",85
"1518","11-Aug","X2008",88
"1519","12-Aug","X2008",81
"1520","13-Aug","X2008",81
"1521","14-Aug","X2008",84
"1522","15-Aug","X2008",87
"1523","16-Aug","X2008",86
"1524","17-Aug","X2008",85
"1525","18-Aug","X2008",86
"1526","19-Aug","X2008",90
"1527","20-Aug","X2008",90
"1528","21-Aug","X2008",85
"1529","22-Aug","X2008",82
"1530","23-Aug","X2008",78
"1531","24-Aug","X2008",83
"1532","25-Aug","X2008",78
"1533","26-Aug","X2008",83
"1534","27-Aug","X2008",80
"1535","28-Aug","X2008",86
"1536","29-Aug","X2008",89
"1537","30-Aug","X2008",89
"1538","31-Aug","X2008",88
"1539","1-Sep","X2008",81
"1540","2-Sep","X2008",85
"1541","3-Sep","X2008",83
"1542","4-Sep","X2008",85
"1543","5-Sep","X2008",88
"1544","6-Sep","X2008",87
"1545","7-Sep","X2008",89
"1546","8-Sep","X2008",90
"1547","9-Sep","X2008",88
"1548","10-Sep","X2008",87
"1549","11-Sep","X2008",83
"1550","12-Sep","X2008",87
"1551","13-Sep","X2008",86
"1552","14-Sep","X2008",88
"1553","15-Sep","X2008",79
"1554","16-Sep","X2008",80
"1555","17-Sep","X2008",69
"1556","18-Sep","X2008",82
"1557","19-Sep","X2008",81
"1558","20-Sep","X2008",79
"1559","21-Sep","X2008",75
"1560","22-Sep","X2008",84
"1561","23-Sep","X2008",82
"1562","24-Sep","X2008",78
"1563","25-Sep","X2008",82
"1564","26-Sep","X2008",80
"1565","27-Sep","X2008",77
"1566","28-Sep","X2008",86
"1567","29-Sep","X2008",86
"1568","30-Sep","X2008",86
"1569","1-Oct","X2008",74
"1570","2-Oct","X2008",74
"1571","3-Oct","X2008",80
"1572","4-Oct","X2008",83
"1573","5-Oct","X2008",83
"1574","6-Oct","X2008",82
"1575","7-Oct","X2008",82
"1576","8-Oct","X2008",72
"1577","9-Oct","X2008",75
"1578","10-Oct","X2008",77
"1579","11-Oct","X2008",78
"1580","12-Oct","X2008",77
"1581","13-Oct","X2008",77
"1582","14-Oct","X2008",80
"1583","15-Oct","X2008",81
"1584","16-Oct","X2008",83
"1585","17-Oct","X2008",69
"1586","18-Oct","X2008",67
"1587","19-Oct","X2008",65
"1588","20-Oct","X2008",66
"1589","21-Oct","X2008",72
"1590","22-Oct","X2008",68
"1591","23-Oct","X2008",62
"1592","24-Oct","X2008",54
"1593","25-Oct","X2008",67
"1594","26-Oct","X2008",70
"1595","27-Oct","X2008",59
"1596","28-Oct","X2008",50
"1597","29-Oct","X2008",59
"1598","30-Oct","X2008",65
"1599","31-Oct","X2008",67
"1600","1-Jul","X2009",95
"1601","2-Jul","X2009",90
"1602","3-Jul","X2009",89
"1603","4-Jul","X2009",91
"1604","5-Jul","X2009",80
"1605","6-Jul","X2009",87
"1606","7-Jul","X2009",86
"1607","8-Jul","X2009",82
"1608","9-Jul","X2009",84
"1609","10-Jul","X2009",84
"1610","11-Jul","X2009",86
"1611","12-Jul","X2009",90
"1612","13-Jul","X2009",84
"1613","14-Jul","X2009",89
"1614","15-Jul","X2009",89
"1615","16-Jul","X2009",90
"1616","17-Jul","X2009",88
"1617","18-Jul","X2009",82
"1618","19-Jul","X2009",80
"1619","20-Jul","X2009",82
"1620","21-Jul","X2009",86
"1621","22-Jul","X2009",84
"1622","23-Jul","X2009",87
"1623","24-Jul","X2009",88
"1624","25-Jul","X2009",90
"1625","26-Jul","X2009",92
"1626","27-Jul","X2009",90
"1627","28-Jul","X2009",89
"1628","29-Jul","X2009",85
"1629","30-Jul","X2009",82
"1630","31-Jul","X2009",85
"1631","1-Aug","X2009",89
"1632","2-Aug","X2009",83
"1633","3-Aug","X2009",90
"1634","4-Aug","X2009",92
"1635","5-Aug","X2009",92
"1636","6-Aug","X2009",89
"1637","7-Aug","X2009",91
"1638","8-Aug","X2009",92
"1639","9-Aug","X2009",93
"1640","10-Aug","X2009",93
"1641","11-Aug","X2009",95
"1642","12-Aug","X2009",86
"1643","13-Aug","X2009",90
"1644","14-Aug","X2009",90
"1645","15-Aug","X2009",90
"1646","16-Aug","X2009",88
"1647","17-Aug","X2009",87
"1648","18-Aug","X2009",88
"1649","19-Aug","X2009",90
"1650","20-Aug","X2009",88
"1651","21-Aug","X2009",88
"1652","22-Aug","X2009",85
"1653","23-Aug","X2009",81
