"","DAY","variable","value"
"1654","24-Aug","X2009",86
"1655","25-Aug","X2009",87
"1656","26-Aug","X2009",90
"1657","27-Aug","X2009",83
"1658","28-Aug","X2009",75
"1659","29-Aug","X2009",86
"1660","30-Aug","X2009",79
"1661","31-Aug","X2009",79
"1662","1-Sep","X2009",71
"1663","2-Sep","X2009",78
"1664","3-Sep","X2009",79
"1665","4-Sep","X2009",83
"1666","5-Sep","X2009",83
"1667","6-Sep","X2009",85
"1668","7-Sep","X2009",84
"1669","8-Sep","X2009",87
"1670","9-Sep","X2009",84
"1671","10-Sep","X2009",80
"1672","11-Sep","X2009",75
"1673","12-Sep","X2009",81
"1674","13-Sep","X2009",80
"1675","14-Sep","X2009",82
"1676","15-Sep","X2009",79
"1677","16-Sep","X2009",82
"1678","17-Sep","X2009",73
"1679","18-Sep","X2009",80
"1680","19-Sep","X2009",74
"1681","20-Sep","X2009",81
"1682","21-Sep","X2009",79
"1683","22-Sep","X2009",84
"1684","23-Sep","X2009",83
"1685","24-Sep","X2009",85
"1686","25-Sep","X2009",87
"1687","26-Sep","X2009",85
"1688","27-Sep","X2009",80
"1689","28-Sep","X2009",83
"1690","29-Sep","X2009",72
"1691","30-Sep","X2009",74
"1692","1-Oct","X2009",76
"1693","2-Oct","X2009",75
"1694","3-Oct","X2009",76
"1695","4-Oct","X2009",74
"1696","5-Oct","X2009",62
"1697","6-Oct","X2009",71
"1698","7-Oct","X2009",79
"1699","8-Oct","X2009",80
"1700","9-Oct","X2009",85
"1701","10-Oct","X2009",74
"1702","11-Oct","X2009",77
"1703","12-Oct","X2009",66
"1704","13-Oct","X2009",73
"1705","14-Oct","X2009",66
"1706","15-Oct","X2009",61
"1707","16-Oct","X2009",61
"1708","17-Oct","X2009",51
"1709","18-Oct","X2009",55
"1710","19-Oct","X2009",61
"1711","20-Oct","X2009",68
"1712","21-Oct","X2009",71
"1713","22-Oct","X2009",74
"1714","23-Oct","X2009",72
"1715","24-Oct","X2009",69
"1716","25-Oct","X2009",65
"1717","26-Oct","X2009",65
"1718","27-Oct","X2009",60
"1719","28-Oct","X2009",71
"1720","29-Oct","X2009",75
"1721","30-Oct","X2009",66
"1722","31-Oct","X2009",69
"1723","1-Jul","X2010",87
"1724","2-Jul","X2010",84
"1725","3-Jul","X2010",83
"1726","4-Jul","X2010",85
"1727","5-Jul","X2010",88
"1728","6-Jul","X2010",89
"1729","7-Jul","X2010",94
"1730","8-Jul","X2010",97
"1731","9-Jul","X2010",96
"1732","10-Jul","X2010",90
"1733","11-Jul","X2010",93
"1734","12-Jul","X2010",90
"1735","13-Jul","X2010",91
"1736","14-Jul","X2010",91
"1737","15-Jul","X2010",94
"1738","16-Jul","X2010",89
"1739","17-Jul","X2010",87
"1740","18-Jul","X2010",83
"1741","19-Jul","X2010",90
"1742","20-Jul","X2010",91
"1743","21-Jul","X2010",94
"1744","22-Jul","X2010",95
"1745","23-Jul","X2010",97
"1746","24-Jul","X2010",94
"1747","25-Jul","X2010",95
"1748","26-Jul","X2010",95
"1749","27-Jul","X2010",93
"1750","28-Jul","X2010",90
"1751","29-Jul","X2010",94
"1752","30-Jul","X2010",95
"1753","31-Jul","X2010",95
"1754","1-Aug","X2010",96
"1755","2-Aug","X2010",84
"1756","3-Aug","X2010",92
"1757","4-Aug","X2010",95
"1758","5-Aug","X2010",93
"1759","6-Aug","X2010",93
"1760","7-Aug","X2010",91
"1761","8-Aug","X2010",93
"1762","9-Aug","X2010",94
"1763","10-Aug","X2010",94
"1764","11-Aug","X2010",95
"1765","12-Aug","X2010",95
"1766","13-Aug","X2010",96
"1767","14-Aug","X2010",89
"1768","15-Aug","X2010",90
"1769","16-Aug","X2010",90
"1770","17-Aug","X2010",91
"1771","18-Aug","X2010",93
"1772","19-Aug","X2010",92
"1773","20-Aug","X2010",93
"1774","21-Aug","X2010",93
"1775","22-Aug","X2010",94
"1776","23-Aug","X2010",93
"1777","24-Aug","X2010",90
"1778","25-Aug","X2010",89
"1779","26-Aug","X2010",90
"1780","27-Aug","X2010",89
"1781","28-Aug","X2010",87
"1782","29-Aug","X2010",84
"1783","30-Aug","X2010",85
"1784","31-Aug","X2010",89
"1785","1-Sep","X2010",90
"1786","2-Sep","X2010",91
"1787","3-Sep","X2010",92
"1788","4-Sep","X2010",84
"1789","5-Sep","X2010",85
"1790","6-Sep","X2010",90
"1791","7-Sep","X2010",91
"1792","8-Sep","X2010",93
"1793","9-Sep","X2010",92
"1794","10-Sep","X2010",94
"1795","11-Sep","X2010",96
"1796","12-Sep","X2010",89
"1797","13-Sep","X2010",86
"1798","14-Sep","X2010",91
"1799","15-Sep","X2010",91
"1800","16-Sep","X2010",89
"1801","17-Sep","X2010",95
"1802","18-Sep","X2010",93
"1803","19-Sep","X2010",92
"1804","20-Sep","X2010",96
"1805","21-Sep","X2010",95
"1806","22-Sep","X2010",92
"1807","23-Sep","X2010",91
"1808","24-Sep","X2010",88
"1809","25-Sep","X2010",93
"1810","26-Sep","X2010",76
"1811","27-Sep","X2010",81
"1812","28-Sep","X2010",76
"1813","29-Sep","X2010",79
"1814","30-Sep","X2010",76
"1815","1-Oct","X2010",79
"1816","2-Oct","X2010",78
"1817","3-Oct","X2010",68
"1818","4-Oct","X2010",67
"1819","5-Oct","X2010",70
"1820","6-Oct","X2010",73
"1821","7-Oct","X2010",81
"1822","8-Oct","X2010",82
"1823","9-Oct","X2010",85
"1824","10-Oct","X2010",86
"1825","11-Oct","X2010",86
"1826","12-Oct","X2010",80
"1827","13-Oct","X2010",80
"1828","14-Oct","X2010",73
"1829","15-Oct","X2010",78
"1830","16-Oct","X2010",76
"1831","17-Oct","X2010",80
"1832","18-Oct","X2010",78
"1833","19-Oct","X2010",82
"1834","20-Oct","X2010",77
"1835","21-Oct","X2010",80
"1836","22-Oct","X2010",78
"1837","23-Oct","X2010",76
"1838","24-Oct","X2010",81
"1839","25-Oct","X2010",76
"1840","26-Oct","X2010",85
"1841","27-Oct","X2010",76
"1842","28-Oct","X2010",74
"1843","29-Oct","X2010",68
"1844","30-Oct","X2010",71
"1845","31-Oct","X2010",75
"1846","1-Jul","X2011",92
"1847","2-Jul","X2011",94
"1848","3-Jul","X2011",95
"1849","4-Jul","X2011",92
"1850","5-Jul","X2011",90
"1851","6-Jul","X2011",90
"1852","7-Jul","X2011",94
"1853","8-Jul","X2011",94
"1854","9-Jul","X2011",91
"1855","10-Jul","X2011",92
"1856","11-Jul","X2011",95
"1857","12-Jul","X2011",95
"1858","13-Jul","X2011",97
"1859","14-Jul","X2011",90
"1860","15-Jul","X2011",80
"1861","16-Jul","X2011",85
"1862","17-Jul","X2011",87
"1863","18-Jul","X2011",89
"1864","19-Jul","X2011",94
"1865","20-Jul","X2011",91
"1866","21-Jul","X2011",92
"1867","22-Jul","X2011",94
"1868","23-Jul","X2011",92
"1869","24-Jul","X2011",92
"1870","25-Jul","X2011",90
"1871","26-Jul","X2011",94
"1872","27-Jul","X2011",94
"1873","28-Jul","X2011",90
"1874","29-Jul","X2011",93
"1875","30-Jul","X2011",96
"1876","31-Jul","X2011",96
"1877","1-Aug","X2011",91
"1878","2-Aug","X2011",96
"1879","3-Aug","X2011",97
"1880","4-Aug","X2011",85
"1881","5-Aug","X2011",96
"1882","6-Aug","X2011",93
"1883","7-Aug","X2011",93
"1884","8-Aug","X2011",94
"1885","9-Aug","X2011",91
"1886","10-Aug","X2011",95
"1887","11-Aug","X2011",94
"1888","12-Aug","X2011",95
"1889","13-Aug","X2011",95
"1890","14-Aug","X2011",94
"1891","15-Aug","X2011",88
"1892","16-Aug","X2011",90
"1893","17-Aug","X2011",92
"1894","18-Aug","X2011",94
"1895","19-Aug","X2011",96
"1896","20-Aug","X2011",93
"1897","21-Aug","X2011",94
"1898","22-Aug","X2011",98
"1899","23-Aug","X2011",92
"1900","24-Aug","X2011",93
"1901","25-Aug","X2011",95
"1902","26-Aug","X2011",99
"1903","27-Aug","X2011",95
"1904","28-Aug","X2011",95
"1905","29-Aug","X2011",93
"1906","30-Aug","X2011",90
"1907","31-Aug","X2011",92
"1908","1-Sep","X2011",95
"1909","2-Sep","X2011",96
"1910","3-Sep","X2011",95
"1911","4-Sep","X2011",80
"1912","5-Sep","X2011",78
"1913","6-Sep","X2011",75
"1914","7-Sep","X2011",69
"1915","8-Sep","X2011",73
"1916","9-Sep","X2011",81
"1917","10-Sep","X2011",84
"1918","11-Sep","X2011",86
"1919","12-Sep","X2011",87
"1920","13-Sep","X2011",89
"1921","14-Sep","X2011",92
"1922","15-Sep","X2011",86
"1923","16-Sep","X2011",72
"1924","17-Sep","X2011",79
"1925","18-Sep","X2011",77
"1926","19-Sep","X2011",77
"1927","20-Sep","X2011",82
"1928","21-Sep","X2011",86
"1929","22-Sep","X2011",80
"1930","23-Sep","X2011",83
"1931","24-Sep","X2011",82
"1932","25-Sep","X2011",88
"1933","26-Sep","X2011",86
"1934","27-Sep","X2011",84
"1935","28-Sep","X2011",79
"1936","29-Sep","X2011",84
"1937","30-Sep","X2011",78
"1938","1-Oct","X2011",65
"1939","2-Oct","X2011",68
"1940","3-Oct","X2011",75
"1941","4-Oct","X2011",80
"1942","5-Oct","X2011",83
"1943","6-Oct","X2011",81
"1944","7-Oct","X2011",79
"1945","8-Oct","X2011",78
"1946","9-Oct","X2011",72
"1947","10-Oct","X2011",68
"1948","11-Oct","X2011",65
"1949","12-Oct","X2011",73
"1950","13-Oct","X2011",74
"1951","14-Oct","X2011",77
"1952","15-Oct","X2011",80
"1953","16-Oct","X2011",84
"1954","17-Oct","X2011",85
"1955","18-Oct","X2011",80
"1956","19-Oct","X2011",67
"1957","20-Oct","X2011",59
"1958","21-Oct","X2011",63
"1959","22-Oct","X2011",68
"1960","23-Oct","X2011",70
"1961","24-Oct","X2011",73
"1962","25-Oct","X2011",76
"1963","26-Oct","X2011",77
"1964","27-Oct","X2011",79
"1965","28-Oct","X2011",74
"1966","29-Oct","X2011",59
"1967","30-Oct","X2011",61
"1968","31-Oct","X2011",65
"1969","1-Jul","X2012",105
"1970","2-Jul","X2012",93
"1971","3-Jul","X2012",99
"1972","4-Jul","X2012",98
"1973","5-Jul","X2012",100
"1974","6-Jul","X2012",98
"1975","7-Jul","X2012",93
"1976","8-Jul","X2012",95
"1977","9-Jul","X2012",97
"1978","10-Jul","X2012",95
"1979","11-Jul","X2012",90
"1980","12-Jul","X2012",84
"1981","13-Jul","X2012",90
"1982","14-Jul","X2012",90
"1983","15-Jul","X2012",90
"1984","16-Jul","X2012",92
"1985","17-Jul","X2012",93
"1986","18-Jul","X2012",93
"1987","19-Jul","X2012",91
"1988","20-Jul","X2012",84
"1989","21-Jul","X2012",90
"1990","22-Jul","X2012",95
"1991","23-Jul","X2012",97
"1992","24-Jul","X2012",97
"1993","25-Jul","X2012",98
"1994","26-Jul","X2012",98
"1995","27-Jul","X2012",97
"1996","28-Jul","X2012",97
"1997","29-Jul","X2012",94
"1998","30-Jul","X2012",96
"1999","31-Jul","X2012",88
"2000","1-Aug","X2012",94
"2001","2-Aug","X2012",99
"2002","3-Aug","X2012",94
"2003","4-Aug","X2012",87
"2004","5-Aug","X2012",90
"2005","6-Aug","X2012",86
"2006","7-Aug","X2012",84
"2007","8-Aug","X2012",92
"2008","9-Aug","X2012",88
"2009","10-Aug","X2012",87
"2010","11-Aug","X2012",85
"2011","12-Aug","X2012",88
"2012","13-Aug","X2012",91
"2013","14-Aug","X2012",88
"2014","15-Aug","X2012",85
"2015","16-Aug","X2012",91
"2016","17-Aug","X2012",87
"2017","18-Aug","X2012",87
"2018","19-Aug","X2012",84
"2019","20-Aug","X2012",84
"2020","21-Aug","X2012",88
"2021","22-Aug","X2012",84
"2022","23-Aug","X2012",88
"2023","24-Aug","X2012",86
"2024","25-Aug","X2012",85
"2025","26-Aug","X2012",90
"2026","27-Aug","X2012",90
"2027","28-Aug","X2012",80
"2028","29-Aug","X2012",86
"2029","30-Aug","X2012",80
"2030","31-Aug","X2012",89
"2031","1-Sep","X2012",91
"2032","2-Sep","X2012",89
"2033","3-Sep","X2012",85
"2034","4-Sep","X2012",77
"2035","5-Sep","X2012",85
"2036","6-Sep","X2012",85
"2037","7-Sep","X2012",92
"2038","8-Sep","X2012",88
"2039","9-Sep","X2012",83
"2040","10-Sep","X2012",84
"2041","11-Sep","X2012",83
"2042","12-Sep","X2012",81
"2043","13-Sep","X2012",81
"2044","14-Sep","X2012",83
"2045","15-Sep","X2012",87
"2046","16-Sep","X2012",86
"2047","17-Sep","X2012",83
"2048","18-Sep","X2012",79
"2049","19-Sep","X2012",81
"2050","20-Sep","X2012",79
"2051","21-Sep","X2012",85
"2052","22-Sep","X2012",87
"2053","23-Sep","X2012",81
"2054","24-Sep","X2012",78
"2055","25-Sep","X2012",82
"2056","26-Sep","X2012",86
"2057","27-Sep","X2012",88
"2058","28-Sep","X2012",86
"2059","29-Sep","X2012",84
"2060","30-Sep","X2012",72
"2061","1-Oct","X2012",75
"2062","2-Oct","X2012",72
"2063","3-Oct","X2012",74
"2064","4-Oct","X2012",82
"2065","5-Oct","X2012",82
"2066","6-Oct","X2012",83
"2067","7-Oct","X2012",68
"2068","8-Oct","X2012",63
"2069","9-Oct","X2012",70
"2070","10-Oct","X2012",73
"2071","11-Oct","X2012",75
"2072","12-Oct","X2012",79
"2073","13-Oct","X2012",75
"2074","14-Oct","X2012",77
"2075","15-Oct","X2012",77
"2076","16-Oct","X2012",74
"2077","17-Oct","X2012",75
"2078","18-Oct","X2012",74
"2079","19-Oct","X2012",73
"2080","20-Oct","X2012",71
"2081","21-Oct","X2012",76
"2082","22-Oct","X2012",79
"2083","23-Oct","X2012",78
"2084","24-Oct","X2012",79
"2085","25-Oct","X2012",80
"2086","26-Oct","X2012",80
"2087","27-Oct","X2012",70
"2088","28-Oct","X2012",56
"2089","29-Oct","X2012",56
"2090","30-Oct","X2012",56
"2091","31-Oct","X2012",65
"2092","1-Jul","X2013",82
"2093","2-Jul","X2013",85
"2094","3-Jul","X2013",76
"2095","4-Jul","X2013",77
"2096","5-Jul","X2013",83
"2097","6-Jul","X2013",83
"2098","7-Jul","X2013",79
"2099","8-Jul","X2013",88
"2100","9-Jul","X2013",88
"2101","10-Jul","X2013",87
"2102","11-Jul","X2013",80
"2103","12-Jul","X2013",87
"2104","13-Jul","X2013",78
"2105","14-Jul","X2013",85
"2106","15-Jul","X2013",86
"2107","16-Jul","X2013",87
"2108","17-Jul","X2013",91
"2109","18-Jul","X2013",87
"2110","19-Jul","X2013",90
"2111","20-Jul","X2013",86
"2112","21-Jul","X2013",87
"2113","22-Jul","X2013",85
"2114","23-Jul","X2013",84
"2115","24-Jul","X2013",86
"2116","25-Jul","X2013",89
"2117","26-Jul","X2013",86
"2118","27-Jul","X2013",82
"2119","28-Jul","X2013",86
"2120","29-Jul","X2013",86
"2121","30-Jul","X2013",90
"2122","31-Jul","X2013",80
"2123","1-Aug","X2013",87
"2124","2-Aug","X2013",89
"2125","3-Aug","X2013",88
"2126","4-Aug","X2013",90
"2127","5-Aug","X2013",88
"2128","6-Aug","X2013",88
"2129","7-Aug","X2013",86
"2130","8-Aug","X2013",83
"2131","9-Aug","X2013",89
"2132","10-Aug","X2013",90
"2133","11-Aug","X2013",90
"2134","12-Aug","X2013",90
"2135","13-Aug","X2013",89
"2136","14-Aug","X2013",83
"2137","15-Aug","X2013",73
"2138","16-Aug","X2013",67
"2139","17-Aug","X2013",66
"2140","18-Aug","X2013",77
"2141","19-Aug","X2013",82
"2142","20-Aug","X2013",84
"2143","21-Aug","X2013",84
"2144","22-Aug","X2013",88
"2145","23-Aug","X2013",90
"2146","24-Aug","X2013",84
"2147","25-Aug","X2013",82
"2148","26-Aug","X2013",82
"2149","27-Aug","X2013",86
"2150","28-Aug","X2013",90
"2151","29-Aug","X2013",92
"2152","30-Aug","X2013",87
"2153","31-Aug","X2013",90
"2154","1-Sep","X2013",90
"2155","2-Sep","X2013",84
"2156","3-Sep","X2013",90
"2157","4-Sep","X2013",89
"2158","5-Sep","X2013",89
"2159","6-Sep","X2013",88
"2160","7-Sep","X2013",88
"2161","8-Sep","X2013",91
"2162","9-Sep","X2013",90
"2163","10-Sep","X2013",89
"2164","11-Sep","X2013",89
"2165","12-Sep","X2013",90
"2166","13-Sep","X2013",87
"2167","14-Sep","X2013",82
"2168","15-Sep","X2013",84
"2169","16-Sep","X2013",89
"2170","17-Sep","X2013",79
"2171","18-Sep","X2013",78
"2172","19-Sep","X2013",84
"2173","20-Sep","X2013",86
"2174","21-Sep","X2013",73
"2175","22-Sep","X2013",82
"2176","23-Sep","X2013",82
"2177","24-Sep","X2013",71
"2178","25-Sep","X2013",67
"2179","26-Sep","X2013",78
"2180","27-Sep","X2013",79
"2181","28-Sep","X2013",77
"2182","29-Sep","X2013",76
"2183","30-Sep","X2013",77
"2184","1-Oct","X2013",82
"2185","2-Oct","X2013",82
"2186","3-Oct","X2013",82
"2187","4-Oct","X2013",85
"2188","5-Oct","X2013",84
"2189","6-Oct","X2013",84
"2190","7-Oct","X2013",74
"2191","8-Oct","X2013",72
"2192","9-Oct","X2013",76
"2193","10-Oct","X2013",80
"2194","11-Oct","X2013",79
"2195","12-Oct","X2013",81
"2196","13-Oct","X2013",82
"2197","14-Oct","X2013",77
"2198","15-Oct","X2013",68
"2199","16-Oct","X2013",74
"2200","17-Oct","X2013",72
"2201","18-Oct","X2013",73
"2202","19-Oct","X2013",63
"2203","20-Oct","X2013",70
"2204","21-Oct","X2013",72
"2205","22-Oct","X2013",69
"2206","23-Oct","X2013",63
"2207","24-Oct","X2013",66
"2208","25-Oct","X2013",56
"2209","26-Oct","X2013",61
"2210","27-Oct","X2013",69
"2211","28-Oct","X2013",64
"2212","29-Oct","X2013",75
"2213","30-Oct","X2013",78
"2214","31-Oct","X2013",74
"2215","1-Jul","X2014",90
"2216","2-Jul","X2014",93
"2217","3-Jul","X2014",87
"2218","4-Jul","X2014",84
"2219","5-Jul","X2014",86
"2220","6-Jul","X2014",87
"2221","7-Jul","X2014",89
"2222","8-Jul","X2014",90
"2223","9-Jul","X2014",90
"2224","10-Jul","X2014",87
"2225","11-Jul","X2014",85
"2226","12-Jul","X2014",90
"2227","13-Jul","X2014",89
"2228","14-Jul","X2014",90
"2229","15-Jul","X2014",86
"2230","16-Jul","X2014",83
"2231","17-Jul","X2014",86
"2232","18-Jul","X2014",82
"2233","19-Jul","X2014",85
"2234","20-Jul","X2014",76
"2235","21-Jul","X2014",82
"2236","22-Jul","X2014",83
"2237","23-Jul","X2014",88
"2238","24-Jul","X2014",87
"2239","25-Jul","X2014",88
"2240","26-Jul","X2014",89
"2241","27-Jul","X2014",92
"2242","28-Jul","X2014",90
"2243","29-Jul","X2014",82
"2244","30-Jul","X2014",84
"2245","31-Jul","X2014",85
"2246","1-Aug","X2014",81
"2247","2-Aug","X2014",84
"2248","3-Aug","X2014",88
"2249","4-Aug","X2014",90
"2250","5-Aug","X2014",89
"2251","6-Aug","X2014",92
"2252","7-Aug","X2014",95
"2253","8-Aug","X2014",90
"2254","9-Aug","X2014",89
"2255","10-Aug","X2014",86
"2256","11-Aug","X2014",83
"2257","12-Aug","X2014",88
"2258","13-Aug","X2014",84
"2259","14-Aug","X2014",85
"2260","15-Aug","X2014",87
"2261","16-Aug","X2014",88
"2262","17-Aug","X2014",89
"2263","18-Aug","X2014",89
"2264","19-Aug","X2014",86
"2265","20-Aug","X2014",89
"2266","21-Aug","X2014",92
"2267","22-Aug","X2014",93
"2268","23-Aug","X2014",93
"2269","24-Aug","X2014",88
"2270","25-Aug","X2014",84
"2271","26-Aug","X2014",86
"2272","27-Aug","X2014",88
"2273","28-Aug","X2014",91
"2274","29-Aug","X2014",92
"2275","30-Aug","X2014",88
"2276","31-Aug","X2014",89
"2277","1-Sep","X2014",90
"2278","2-Sep","X2014",90
"2279","3-Sep","X2014",92
"2280","4-Sep","X2014",82
"2281","5-Sep","X2014",89
"2282","6-Sep","X2014",91
"2283","7-Sep","X2014",90
"2284","8-Sep","X2014",84
"2285","9-Sep","X2014",84
"2286","10-Sep","X2014",86
"2287","11-Sep","X2014",90
"2288","12-Sep","X2014",92
"2289","13-Sep","X2014",86
"2290","14-Sep","X2014",78
"2291","15-Sep","X2014",80
"2292","16-Sep","X2014",86
"2293","17-Sep","X2014",86
"2294","18-Sep","X2014",85
"2295","19-Sep","X2014",84
"2296","20-Sep","X2014",83
"2297","21-Sep","X2014",87
"2298","22-Sep","X2014",82
"2299","23-Sep","X2014",77
"2300","24-Sep","X2014",78
"2301","25-Sep","X2014",77
"2302","26-Sep","X2014",74
"2303","27-Sep","X2014",78
"2304","28-Sep","X2014",74
"2305","29-Sep","X2014",71
"2306","30-Sep","X2014",84
"2307","1-Oct","X2014",86
"2308","2-Oct","X2014",85
"2309","3-Oct","X2014",78
"2310","4-Oct","X2014",65
"2311","5-Oct","X2014",71
"2312","6-Oct","X2014",78
"2313","7-Oct","X2014",82
"2314","8-Oct","X2014",86
"2315","9-Oct","X2014",86
"2316","10-Oct","X2014",86
"2317","11-Oct","X2014",86
"2318","12-Oct","X2014",85
"2319","13-Oct","X2014",85
"2320","14-Oct","X2014",75
"2321","15-Oct","X2014",69
"2322","16-Oct","X2014",70
"2323","17-Oct","X2014",80
"2324","18-Oct","X2014",76
"2325","19-Oct","X2014",73
"2326","20-Oct","X2014",73
"2327","21-Oct","X2014",77
"2328","22-Oct","X2014",70
"2329","23-Oct","X2014",72
"2330","24-Oct","X2014",74
"2331","25-Oct","X2014",77
"2332","26-Oct","X2014",84
"2333","27-Oct","X2014",84
"2334","28-Oct","X2014",77
"2335","29-Oct","X2014",73
"2336","30-Oct","X2014",68
"2337","31-Oct","X2014",63
"2338","1-Jul","X2015",85
"2339","2-Jul","X2015",87
"2340","3-Jul","X2015",79
"2341","4-Jul","X2015",85
"2342","5-Jul","X2015",84
"2343","6-Jul","X2015",84
"2344","7-Jul","X2015",90
"2345","8-Jul","X2015",90
"2346","9-Jul","X2015",91
"2347","10-Jul","X2015",93
"2348","11-Jul","X2015",92
"2349","12-Jul","X2015",93
"2350","13-Jul","X2015",92
"2351","14-Jul","X2015",90
"2352","15-Jul","X2015",89
"2353","16-Jul","X2015",88
"2354","17-Jul","X2015",93
"2355","18-Jul","X2015",92
"2356","19-Jul","X2015",91
"2357","20-Jul","X2015",93
"2358","21-Jul","X2015",93
"2359","22-Jul","X2015",92
"2360","23-Jul","X2015",88
"2361","24-Jul","X2015",91
"2362","25-Jul","X2015",90
"2363","26-Jul","X2015",91
"2364","27-Jul","X2015",92
"2365","28-Jul","X2015",94
"2366","29-Jul","X2015",93
"2367","30-Jul","X2015",94
"2368","31-Jul","X2015",93
"2369","1-Aug","X2015",89
"2370","2-Aug","X2015",94
"2371","3-Aug","X2015",94
"2372","4-Aug","X2015",97
"2373","5-Aug","X2015",95
"2374","6-Aug","X2015",88
"2375","7-Aug","X2015",88
"2376","8-Aug","X2015",92
"2377","9-Aug","X2015",93
"2378","10-Aug","X2015",94
"2379","11-Aug","X2015",91
"2380","12-Aug","X2015",90
"2381","13-Aug","X2015",89
"2382","14-Aug","X2015",90
"2383","15-Aug","X2015",90
"2384","16-Aug","X2015",90
"2385","17-Aug","X2015",89
"2386","18-Aug","X2015",88
"2387","19-Aug","X2015",89
"2388","20-Aug","X2015",88
"2389","21-Aug","X2015",89
"2390","22-Aug","X2015",92
"2391","23-Aug","X2015",87
"2392","24-Aug","X2015",89
"2393","25-Aug","X2015",84
"2394","26-Aug","X2015",86
"2395","27-Aug","X2015",85
"2396","28-Aug","X2015",83
"2397","29-Aug","X2015",81
"2398","30-Aug","X2015",74
"2399","31-Aug","X2015",84
"2400","1-Sep","X2015",87
"2401","2-Sep","X2015",90
"2402","3-Sep","X2015",89
"2403","4-Sep","X2015",92
"2404","5-Sep","X2015",87
"2405","6-Sep","X2015",85
"2406","7-Sep","X2015",85
"2407","8-Sep","X2015",84
"2408","9-Sep","X2015",87
"2409","10-Sep","X2015",85
"2410","11-Sep","X2015",86
"2411","12-Sep","X2015",78
"2412","13-Sep","X2015",75
"2413","14-Sep","X2015",77
"2414","15-Sep","X2015",80
"2415","16-Sep","X2015",79
"2416","17-Sep","X2015",83
"2417","18-Sep","X2015",83
"2418","19-Sep","X2015",87
"2419","20-Sep","X2015",89
"2420","21-Sep","X2015",77
"2421","22-Sep","X2015",76
"2422","23-Sep","X2015",81
"2423","24-Sep","X2015",74
"2424","25-Sep","X2015",67
"2425","26-Sep","X2015",71
"2426","27-Sep","X2015",71
"2427","28-Sep","X2015",75
"2428","29-Sep","X2015",77
"2429","30-Sep","X2015",85
"2430","1-Oct","X2015",71
"2431","2-Oct","X2015",66
"2432","3-Oct","X2015",66
"2433","4-Oct","X2015",70
"2434","5-Oct","X2015",73
"2435","6-Oct","X2015",76
"2436","7-Oct","X2015",81
"2437","8-Oct","X2015",82
"2438","9-Oct","X2015",81
"2439","10-Oct","X2015",71
"2440","11-Oct","X2015",73
"2441","12-Oct","X2015",76
"2442","13-Oct","X2015",81
"2443","14-Oct","X2015",78
"2444","15-Oct","X2015",81
"2445","16-Oct","X2015",77
"2446","17-Oct","X2015",70
"2447","18-Oct","X2015",66
"2448","19-Oct","X2015",64
"2449","20-Oct","X2015",71
"2450","21-Oct","X2015",76
"2451","22-Oct","X2015",79
"2452","23-Oct","X2015",81
"2453","24-Oct","X2015",76
"2454","25-Oct","X2015",71
"2455","26-Oct","X2015",67
"2456","27-Oct","X2015",56
"2457","28-Oct","X2015",78
"2458","29-Oct","X2015",70
"2459","30-Oct","X2015",70
"2460","31-Oct","X2015",62
